Event,GPS,GPS_valtype,UTC,UTC_valtype,rho,rho_valtype,rho_errp,rho_errm,FAR,FAR_valtype,M1,M1_valtype,M1_errp,M1_errm,M2,M2_valtype,M2_errp,M2_errm,Mchirp,Mchirp_valtype,Mchirp_errp,Mchirp_errm,Mtotal,Mtotal_valtype,Mtotal_errp,Mtotal_errm,chi,chi_valtype,chi_errp,chi_errm,Mfinal,Mfinal_valtype,Mfinal_errp,Mfinal_errm,Mratio,Mratio_valtype,Mratio_errp,Mratio_errm,af,af_valtype,af_errp,af_errm,Erad,Erad_valtype,Erad_errp,Erad_errm,lpeak,lpeak_valtype,lpeak_errp,lpeak_errm,DL,DL_valtype,DL_errp,DL_errm,z,z_valtype,z_errp,z_errm,deltaOmega,deltaOmega_valtype,obsrun,obsrun_valtype,net,net_valtype,detType,detType_valtype,p_astro,p_astro_valtype
170720,1184625889.8,value,2017-07-20T22:45:08.800,value,13.0,value,,,10.8,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O2,value,HL,value,Marginal,value,,
200121_031748,1263611886.9,value,2020-01-21T03:18:25.900,value,10.69,value,,,1.1,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HV,value,Marginal,value,0.23,value
200214_224526,1265755544.5,value,2020-02-14T22:46:03.500,value,13.13,value,,,0.131,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HL,value,Marginal,value,0.9095,value
200219_201407,1266178465.9,value,2020-02-19T20:14:44.900,value,13.59,value,,,0.22,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3b,value,HLV,value,Marginal,value,0.481,value
GW150914,1126259462.4,value,2015-09-14T09:51:21.400,value,26.0,bestfit,0.1,-0.2,1e-07,value,35.6,bestfit,4.7,-3.1,30.6,bestfit,3.0,-4.4,28.6,bestfit,1.7,-1.5,,,,,-0.01,bestfit,0.12,-0.13,63.1,bestfit,3.4,-3.0,,,,,0.69,bestfit,0.05,-0.04,3.1,bestfit,0.4,-0.4,3.6,bestfit,0.4,-0.4,436.0,bestfit,98.0,-98.0,0.09,bestfit,0.03,-0.03,182.0,value,O1,value,HL,value,GW,value,1.0,value
GW151012,1128678900.4,value,2015-10-12T09:55:19.400,value,10.0,value,,,0.00792,value,23.2,bestfit,14.9,-5.5,13.6,bestfit,4.1,-4.8,15.2,bestfit,2.1,-1.2,,,,,0.05,bestfit,0.31,-0.2,35.6,bestfit,10.8,-3.8,,,,,0.67,bestfit,0.13,-0.11,1.6,bestfit,0.6,-0.5,3.2,bestfit,0.8,-1.7,1070.0,bestfit,320.0,-320.0,0.21,bestfit,0.09,-0.09,1520.0,value,O1,value,HL,value,GW,value,1.0,value
GW151226,1135136350.6,value,2015-12-26T03:39:29.600,value,13.1,value,,,1e-07,value,13.7,bestfit,8.8,-3.2,7.7,bestfit,2.2,-2.5,8.9,bestfit,0.3,-0.3,,,,,0.18,bestfit,0.2,-0.12,20.5,bestfit,6.4,-1.5,,,,,0.74,bestfit,0.07,-0.05,1.0,bestfit,0.1,-0.2,3.4,bestfit,0.7,-1.7,445.0,bestfit,114.0,-114.0,0.09,bestfit,0.04,-0.04,1030.0,value,O1,value,HL,value,GW,value,1.0,value
GW170104,1167559936.6,value,2017-01-04T10:12:35.600,value,13.8,bestfit,0.2,-0.3,1e-07,value,30.8,bestfit,7.3,-5.6,20.0,bestfit,4.9,-4.6,21.4,bestfit,2.2,-1.8,,,,,-0.04,bestfit,0.17,-0.21,48.9,bestfit,5.1,-4.0,,,,,0.66,bestfit,0.08,-0.11,2.2,bestfit,0.5,-0.5,3.3,bestfit,0.6,-1.0,989.0,bestfit,268.0,-268.0,0.2,bestfit,0.08,-0.08,921.0,value,O2,value,HL,value,GW,value,1.0,value
GW170608,1180922494.5,value,2017-06-08T02:01:53.500,value,15.4,value,,,1e-07,value,11.0,bestfit,5.5,-1.7,7.6,bestfit,1.4,-2.2,7.9,bestfit,0.2,-0.2,,,,,0.03,bestfit,0.19,-0.07,17.8,bestfit,3.4,-0.7,,,,,0.69,bestfit,0.04,-0.04,0.9,value,,,3.5,bestfit,0.4,-1.3,325.0,bestfit,71.0,-71.0,0.07,bestfit,0.02,-0.02,392.0,value,O2,value,HL,value,GW,value,1.0,value
GW170729,1185389807.3,value,2017-07-29T18:57:06.300,value,10.8,value,,,0.02,value,50.2,bestfit,16.2,-10.2,34.0,bestfit,9.1,-10.1,35.4,bestfit,6.5,-4.8,,,,,0.37,bestfit,0.21,-0.25,79.5,bestfit,14.7,-10.2,,,,,0.81,bestfit,0.07,-0.13,4.8,bestfit,1.7,-1.7,4.2,bestfit,0.9,-1.5,2860.0,bestfit,840.0,-840.0,0.49,bestfit,0.19,-0.21,1040.0,value,O2,value,HLV,value,GW,value,0.98,value
GW170809,1186302519.8,value,2017-08-09T08:28:58.800,value,12.8,bestfit,0.2,-0.3,1e-07,value,35.0,bestfit,8.3,-5.9,23.8,bestfit,5.1,-5.2,24.9,bestfit,2.1,-1.7,,,,,0.08,bestfit,0.17,-0.17,56.3,bestfit,5.2,-3.8,,,,,0.7,bestfit,0.08,-0.09,2.7,bestfit,0.6,-0.6,3.5,bestfit,0.6,-0.9,1010.0,bestfit,210.0,-210.0,0.2,bestfit,0.05,-0.07,308.0,value,O2,value,HLV,value,GW,value,1.0,value
GW170814,1186741861.5,value,2017-08-14T10:31:20.500,value,17.7,bestfit,0.2,-0.3,1e-07,value,30.6,bestfit,5.6,-3.0,25.2,bestfit,2.8,-4.0,24.1,bestfit,1.4,-1.1,,,,,0.07,bestfit,0.12,-0.12,53.2,bestfit,3.2,-2.4,,,,,0.72,bestfit,0.07,-0.05,2.7,bestfit,0.4,-0.3,3.7,bestfit,0.4,-0.5,586.0,bestfit,113.0,-113.0,0.12,bestfit,0.03,-0.04,87.0,value,O2,value,HLV,value,GW,value,1.0,value
GW170817,1187008882.4,value,2017-08-17T12:41:41.400,value,33.0,value,,,1e-07,value,1.46,bestfit,0.12,-0.1,1.27,bestfit,0.09,-0.09,1.186,bestfit,0.001,-0.001,,,,,0.0,bestfit,0.0,0.0,2.8,value,,,,,,,0.89,value,,,0.04,value,,,0.1,value,,,38.0,bestfit,7.5,-7.5,0.01,value,,,16.0,value,O2,value,HLV,value,GW,value,1.0,value
GW170818,1187058327.1,value,2017-08-18T02:25:46.100,value,12.0,bestfit,0.3,-0.4,4.2e-05,value,35.4,bestfit,7.5,-4.7,26.7,bestfit,4.3,-5.2,26.5,bestfit,2.1,-1.7,,,,,-0.09,bestfit,0.18,-0.21,59.4,bestfit,4.9,-3.8,,,,,0.67,bestfit,0.07,-0.08,2.7,bestfit,0.5,-0.5,3.4,bestfit,0.5,-0.7,1070.0,bestfit,250.0,-250.0,0.21,bestfit,0.07,-0.07,39.0,value,O2,value,HLV,value,GW,value,1.0,value
GW170823,1187529256.5,value,2017-08-23T13:14:35.500,value,12.2,bestfit,0.2,-0.3,1e-07,value,39.5,bestfit,11.2,-6.7,29.0,bestfit,6.7,-7.8,29.2,bestfit,4.6,-3.6,,,,,0.09,bestfit,0.22,-0.26,65.4,bestfit,10.1,-7.4,,,,,0.72,bestfit,0.09,-0.12,3.3,bestfit,1.0,-0.9,3.6,bestfit,0.7,-1.1,1930.0,bestfit,530.0,-530.0,0.35,bestfit,0.15,-0.15,1670.0,value,O2,value,HL,value,GW,value,1.0,value
GW190403_051519,1238303737.2,value,2019-04-03T05:15:56.200,value,7.6,bestfit,0.6,-1.1,7.7,value,85.0,bestfit,27.8,-33.0,20.0,bestfit,26.3,-8.4,34.0,bestfit,15.1,-8.4,106.6,bestfit,26.7,-23.6,0.68,bestfit,0.16,-0.43,102.2,bestfit,26.3,-24.3,0.2304,bestfit,0.5693,-0.115,0.91,bestfit,0.05,-0.17,4.54,bestfit,3.38,-2.62,2.35,bestfit,2.78,-1.58,8280.0,bestfit,6720.0,-4290.0,1.18,bestfit,0.73,-0.53,5590.0,value,O3a,value,HL,value,GW,value,0.60924,value
GW190408_181802,1238782700.2,value,2019-04-08T18:18:39.200,value,14.6,bestfit,0.2,-0.3,1e-05,value,24.8,bestfit,5.4,-3.5,18.5,bestfit,3.3,-4.0,18.5,bestfit,1.9,-1.2,43.4,bestfit,4.2,-3.0,-0.03,bestfit,0.13,-0.17,41.4,bestfit,3.9,-2.9,0.753,bestfit,0.2132,-0.257,0.67,bestfit,0.06,-0.07,1.94,bestfit,0.35,-0.35,3.45,bestfit,0.35,-0.73,1540.0,bestfit,440.0,-620.0,0.29,bestfit,0.07,-0.11,139.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190412,1239082262.1,value,2019-04-12T05:31:21.100,value,19.8,bestfit,0.2,-0.3,1e-05,value,27.7,bestfit,6.0,-6.0,9.0,bestfit,2.0,-1.4,13.3,bestfit,0.5,-0.5,36.8,bestfit,4.7,-4.4,0.21,bestfit,0.12,-0.13,35.6,bestfit,4.8,-4.5,0.3254,bestfit,0.1716,-0.0971,0.66,bestfit,0.05,-0.04,1.19,bestfit,0.19,-0.15,2.13,bestfit,0.84,-0.63,720.0,bestfit,240.0,-220.0,0.15,bestfit,0.04,-0.04,21.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190413_052954,1239168612.5,value,2019-04-13T05:30:31.500,value,9.0,bestfit,0.4,-0.8,0.82,value,33.7,bestfit,10.4,-6.4,24.2,bestfit,6.5,-7.0,24.5,bestfit,4.6,-3.4,58.0,bestfit,10.6,-7.8,-0.04,bestfit,0.27,-0.32,55.5,bestfit,10.1,-7.3,0.731,bestfit,0.24,-0.3086,0.67,bestfit,0.1,-0.12,2.56,bestfit,0.87,-0.77,3.39,bestfit,0.62,-1.09,3320.0,bestfit,1910.0,-1400.0,0.56,bestfit,0.25,-0.21,1380.0,value,O3a,value,HL,value,GW,value,0.9275,value
GW190413_134308,1239198206.7,value,2019-04-13T13:43:45.700,value,10.6,bestfit,0.4,-0.5,0.18,value,51.3,bestfit,16.6,-12.6,30.4,bestfit,11.7,-12.7,33.3,bestfit,7.8,-6.3,81.3,bestfit,16.8,-11.8,-0.01,bestfit,0.28,-0.38,78.0,bestfit,16.1,-11.5,0.6036,bestfit,0.3474,-0.3198,0.68,bestfit,0.12,-0.18,3.38,bestfit,1.35,-1.57,3.17,bestfit,0.84,-1.7,3800.0,bestfit,2480.0,-1830.0,0.62,bestfit,0.32,-0.26,516.0,value,O3a,value,HLV,value,GW,value,0.99058,value
GW190421_213856,1239917954.2,value,2019-04-21T21:39:33.200,value,10.7,bestfit,0.2,-0.4,0.0028,value,42.0,bestfit,10.1,-7.4,32.0,bestfit,8.3,-9.8,31.4,bestfit,6.0,-4.6,73.6,bestfit,13.2,-9.5,-0.1,bestfit,0.21,-0.27,70.5,bestfit,12.4,-9.0,0.7836,bestfit,0.1954,-0.3239,0.66,bestfit,0.09,-0.12,3.22,bestfit,0.95,-0.96,3.38,bestfit,0.45,-0.99,2590.0,bestfit,1490.0,-1240.0,0.45,bestfit,0.21,-0.19,1020.0,value,O3a,value,HL,value,GW,value,0.99792,value
GW190424_180648,1240164426.1,value,2019-04-24T18:07:25.100,value,10.09,value,,,9.04,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25900.0,value,O3a,value,LV,value,Marginal,value,0.12110151519463319,value
GW190425,1240215503.0,value,2019-04-25T08:18:42.000,value,12.4,bestfit,0.4,-0.4,0.034,value,2.1,bestfit,0.5,-0.4,1.3,bestfit,0.3,-0.2,1.44,bestfit,0.02,-0.02,3.4,bestfit,0.3,-0.1,0.07,bestfit,0.07,-0.05,,,,,0.6354,bestfit,0.3098,-0.2026,,,,,,,,,,,,,150.0,bestfit,80.0,-60.0,0.03,bestfit,0.02,-0.01,9880.0,value,O3a,value,LV,value,GW,value,0.78349,value
GW190426_152155,1240327333.3,value,2019-04-26T15:22:32.300,value,10.12,value,,,0.91,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.0,value,O3a,value,HLV,value,Marginal,value,,
GW190426_190642,1240340820.6,value,2019-04-26T19:07:19.600,value,8.7,bestfit,0.4,-0.6,4.1,value,105.5,bestfit,45.3,-24.1,76.0,bestfit,26.2,-36.5,76.0,bestfit,19.1,-17.4,182.3,bestfit,40.2,-35.7,0.23,bestfit,0.42,-0.41,172.9,bestfit,37.7,-33.6,0.7617,bestfit,0.2157,-0.4827,0.77,bestfit,0.14,-0.16,9.29,bestfit,4.68,-3.91,3.8,bestfit,1.15,-1.79,4580.0,bestfit,3400.0,-2280.0,0.73,bestfit,0.41,-0.32,8220.0,value,O3a,value,HL,value,GW,value,0.75053,value
GW190503_185404,1240944862.2,value,2019-05-03T18:54:41.200,value,12.2,bestfit,0.2,-0.4,1e-05,value,41.3,bestfit,10.3,-7.7,28.3,bestfit,7.5,-9.2,29.3,bestfit,4.5,-4.4,69.4,bestfit,10.1,-8.6,-0.05,bestfit,0.23,-0.3,66.5,bestfit,9.4,-7.9,0.6906,bestfit,0.2707,-0.2922,0.66,bestfit,0.09,-0.15,3.0,bestfit,0.95,-1.07,3.31,bestfit,0.59,-1.22,1520.0,bestfit,630.0,-600.0,0.29,bestfit,0.1,-0.1,94.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190512_180714,1241719652.4,value,2019-05-12T18:07:51.400,value,12.7,bestfit,0.3,-0.4,1e-05,value,23.2,bestfit,5.6,-5.6,12.5,bestfit,3.5,-2.6,14.6,bestfit,1.4,-0.9,35.8,bestfit,4.1,-3.5,0.02,bestfit,0.13,-0.14,34.3,bestfit,4.1,-3.4,0.5384,bestfit,0.3619,-0.1808,0.65,bestfit,0.06,-0.07,1.45,bestfit,0.25,-0.26,3.0,bestfit,0.68,-0.86,1460.0,bestfit,510.0,-590.0,0.28,bestfit,0.08,-0.1,226.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190513_205428,1241816086.7,value,2019-05-13T20:55:05.700,value,12.5,bestfit,0.3,-0.4,1.3e-05,value,36.0,bestfit,10.6,-9.7,18.3,bestfit,7.4,-4.7,21.8,bestfit,3.8,-2.2,54.4,bestfit,9.3,-6.7,0.16,bestfit,0.29,-0.22,52.1,bestfit,8.8,-6.6,0.5059,bestfit,0.414,-0.1948,0.71,bestfit,0.13,-0.13,2.32,bestfit,1.2,-0.68,3.16,bestfit,1.21,-1.23,2210.0,bestfit,990.0,-810.0,0.4,bestfit,0.14,-0.13,490.0,value,O3a,value,HLV,value,GW,value,0.99998,value
GW190514_065416,1241852074.8,value,2019-05-14T06:54:53.800,value,8.0,bestfit,0.3,-0.6,2.8,value,40.9,bestfit,17.3,-9.3,28.4,bestfit,10.0,-10.1,29.1,bestfit,8.1,-5.4,69.3,bestfit,19.8,-12.1,-0.08,bestfit,0.29,-0.35,66.4,bestfit,19.0,-11.5,0.7106,bestfit,0.2564,-0.3498,0.66,bestfit,0.12,-0.16,2.92,bestfit,1.25,-1.05,3.27,bestfit,0.65,-1.35,3890.0,bestfit,2610.0,-2070.0,0.64,bestfit,0.33,-0.3,2400.0,value,O3a,value,HL,value,GW,value,0.76021,value
GW190517_055101,1242107479.8,value,2019-05-17T05:51:38.800,value,10.8,bestfit,0.5,-0.6,0.00035,value,39.2,bestfit,13.9,-9.2,24.0,bestfit,7.4,-7.9,26.5,bestfit,4.0,-4.2,64.1,bestfit,9.9,-9.8,0.49,bestfit,0.21,-0.28,60.1,bestfit,9.9,-9.4,0.6186,bestfit,0.3212,-0.3045,0.87,bestfit,0.05,-0.07,3.94,bestfit,1.3,-1.61,4.5,bestfit,0.99,-2.24,1790.0,bestfit,1750.0,-880.0,0.33,bestfit,0.26,-0.15,462.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190519_153544,1242315362.3,value,2019-05-19T15:36:21.300,value,15.9,bestfit,0.2,-0.3,1e-05,value,65.1,bestfit,10.8,-11.0,40.8,bestfit,11.5,-12.7,44.3,bestfit,6.8,-7.5,105.6,bestfit,14.4,-13.9,0.33,bestfit,0.2,-0.24,100.0,bestfit,13.0,-12.9,0.6272,bestfit,0.2623,-0.2231,0.79,bestfit,0.07,-0.12,5.68,bestfit,1.85,-1.94,3.9,bestfit,0.87,-1.26,2600.0,bestfit,1720.0,-960.0,0.45,bestfit,0.24,-0.15,769.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190521,1242442967.4,value,2019-05-21T03:03:06.400,value,14.3,bestfit,0.5,-0.4,0.0013,value,98.4,bestfit,33.6,-21.7,57.2,bestfit,27.1,-30.1,63.3,bestfit,19.6,-14.6,153.1,bestfit,42.2,-16.2,-0.14,bestfit,0.5,-0.45,147.4,bestfit,40.0,-16.0,0.5871,bestfit,0.3329,-0.376,0.62,bestfit,0.21,-0.23,5.91,bestfit,4.41,-3.78,2.87,bestfit,1.45,-2.08,3310.0,bestfit,2790.0,-1800.0,0.56,bestfit,0.36,-0.27,936.0,value,O3a,value,HLV,value,GW,value,0.99989,value
GW190521_074359,1242459857.4,value,2019-05-21T07:44:36.400,value,25.9,bestfit,0.1,-0.2,1e-05,value,43.4,bestfit,5.8,-5.5,33.4,bestfit,5.2,-6.8,32.8,bestfit,3.2,-2.8,76.3,bestfit,7.0,-5.9,0.1,bestfit,0.13,-0.13,72.6,bestfit,6.5,-5.4,0.7749,bestfit,0.1842,-0.2067,0.71,bestfit,0.06,-0.06,3.75,bestfit,0.65,-0.67,3.71,bestfit,0.35,-0.56,1080.0,bestfit,580.0,-530.0,0.21,bestfit,0.1,-0.1,501.0,value,O3a,value,HL,value,GW,value,1.0,value
GW190527_092055,1242984073.7,value,2019-05-27T09:21:32.700,value,8.0,bestfit,0.4,-0.9,0.23,value,35.6,bestfit,18.7,-8.0,22.2,bestfit,9.0,-8.7,23.9,bestfit,6.8,-3.9,58.1,bestfit,18.1,-8.8,0.1,bestfit,0.22,-0.22,55.5,bestfit,17.9,-8.5,0.6355,bestfit,0.3074,-0.359,0.71,bestfit,0.1,-0.16,2.61,bestfit,1.17,-1.1,3.43,bestfit,0.76,-1.89,2520.0,bestfit,2080.0,-1230.0,0.44,bestfit,0.29,-0.19,3800.0,value,O3a,value,HL,value,GW,value,0.84784,value
GW190531_023648,1243305426.3,value,2019-05-31T02:37:25.300,value,9.951,value,,,0.41,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O3a,value,HLV,value,Marginal,value,,
GW190602_175927,1243533585.0,value,2019-06-02T18:00:04.000,value,13.2,bestfit,0.2,-0.3,1e-05,value,71.8,bestfit,18.1,-14.6,44.8,bestfit,15.5,-19.6,48.0,bestfit,9.5,-9.7,115.6,bestfit,19.2,-14.8,0.12,bestfit,0.25,-0.28,110.5,bestfit,17.9,-13.9,0.6297,bestfit,0.3217,-0.3418,0.72,bestfit,0.11,-0.17,5.33,bestfit,1.95,-2.46,3.44,bestfit,0.87,-1.78,2840.0,bestfit,1930.0,-1280.0,0.49,bestfit,0.26,-0.2,716.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190620_030421,1245035079.3,value,2019-06-20T03:04:58.300,value,12.1,bestfit,0.3,-0.4,0.011,value,58.0,bestfit,19.2,-13.3,35.0,bestfit,13.1,-14.5,38.1,bestfit,8.5,-7.2,92.7,bestfit,18.5,-13.2,0.34,bestfit,0.22,-0.29,88.0,bestfit,17.2,-12.4,0.6063,bestfit,0.342,-0.3194,0.8,bestfit,0.07,-0.15,4.92,bestfit,2.09,-2.4,3.91,bestfit,0.97,-2.17,2910.0,bestfit,1710.0,-1320.0,0.5,bestfit,0.23,-0.2,6680.0,value,O3a,value,LV,value,GW,value,0.98748,value
GW190630_185205,1245955943.1,value,2019-06-30T18:52:42.100,value,16.4,bestfit,0.2,-0.3,1e-05,value,35.1,bestfit,6.5,-5.5,24.0,bestfit,5.5,-5.2,25.1,bestfit,2.2,-2.1,59.4,bestfit,4.7,-4.8,0.1,bestfit,0.14,-0.13,56.6,bestfit,4.4,-4.5,0.6804,bestfit,0.2752,-0.2166,0.7,bestfit,0.06,-0.07,2.79,bestfit,0.56,-0.55,3.55,bestfit,0.49,-0.8,870.0,bestfit,530.0,-360.0,0.18,bestfit,0.09,-0.07,1280.0,value,O3a,value,LV,value,GW,value,1.0,value
GW190701_203306,1246048404.5,value,2019-07-01T20:33:43.500,value,11.2,bestfit,0.2,-0.4,0.0057,value,54.1,bestfit,12.6,-8.0,40.5,bestfit,8.7,-12.1,40.2,bestfit,5.4,-5.0,94.3,bestfit,12.0,-9.5,-0.08,bestfit,0.23,-0.31,90.2,bestfit,11.2,-8.9,0.7607,bestfit,0.2108,-0.3135,0.66,bestfit,0.09,-0.13,4.11,bestfit,1.09,-1.18,3.36,bestfit,0.51,-1.02,2090.0,bestfit,770.0,-740.0,0.38,bestfit,0.11,-0.12,45.0,value,O3a,value,HLV,value,GW,value,0.99986,value
GW190706_222641,1246487219.3,value,2019-07-06T22:27:18.300,value,13.4,bestfit,0.2,-0.4,5e-05,value,74.0,bestfit,20.1,-16.9,39.4,bestfit,18.4,-15.4,45.6,bestfit,13.0,-9.1,112.6,bestfit,27.4,-16.8,0.28,bestfit,0.25,-0.31,107.3,bestfit,25.2,-15.9,0.5379,bestfit,0.3436,-0.2481,0.78,bestfit,0.09,-0.19,5.52,bestfit,2.77,-2.57,3.51,bestfit,1.21,-1.74,3630.0,bestfit,2600.0,-2000.0,0.6,bestfit,0.33,-0.29,607.0,value,O3a,value,HLV,value,GW,value,1.0,value
GW190707_093326,1246527224.1,value,2019-07-07T09:34:03.100,value,13.1,bestfit,0.2,-0.4,1e-05,value,12.1,bestfit,2.6,-2.0,7.9,bestfit,1.6,-1.3,8.4,bestfit,0.6,-0.4,20.1,bestfit,1.7,-1.2,-0.04,bestfit,0.1,-0.09,19.2,bestfit,1.7,-1.2,0.6602,bestfit,0.2737,-0.2022,0.66,bestfit,0.03,-0.03,0.865,bestfit,0.08,-0.084,3.29,bestfit,0.28,-0.62,850.0,bestfit,340.0,-400.0,0.17,bestfit,0.06,-0.08,1340.0,value,O3a,value,HL,value,GW,value,1.0,value
GW190708_232457,1246663515.3,value,2019-07-08T23:25:34.300,value,13.4,bestfit,0.2,-0.3,0.00031,value,19.8,bestfit,4.3,-4.3,11.6,bestfit,3.1,-2.0,13.1,bestfit,0.9,-0.6,31.4,bestfit,2.8,-2.2,0.05,bestfit,0.1,-0.1,30.1,bestfit,2.9,-2.1,0.5848,bestfit,0.3579,-0.1779,0.68,bestfit,0.04,-0.05,1.37,bestfit,0.15,-0.16,3.23,bestfit,0.49,-0.72,930.0,bestfit,310.0,-390.0,0.19,bestfit,0.06,-0.07,13700.0,value,O3a,value,LV,value,GW,value,0.99965,value
GW190719_215514,1247608532.9,value,2019-07-19T21:55:51.900,value,7.9,bestfit,0.3,-0.7,0.63,value,36.6,bestfit,42.1,-11.1,19.9,bestfit,10.0,-9.3,22.8,bestfit,8.3,-4.3,57.2,bestfit,38.4,-11.6,0.25,bestfit,0.33,-0.32,54.5,bestfit,38.3,-11.1,0.5481,bestfit,0.3959,-0.405,0.76,bestfit,0.13,-0.18,2.61,bestfit,1.76,-1.32,3.46,bestfit,1.17,-2.62,3730.0,bestfit,3120.0,-2070.0,0.61,bestfit,0.39,-0.3,2280.0,value,O3a,value,HL,value,GW,value,0.91976,value
